n_iter,RandomPlayer,GreedyPlayer,AlphaZeroBaseline
100,0.5,0.0,0.3
200,0.5,0.0,0.3
300,0.3,0.1,0.4
400,0.4,0.0,0.7
500,0.5,0.1,0.6
600,0.5,0.0,0.5
700,0.6,0.1,0.5
800,0.7,0.1,0.5
900,0.5,0.0,0.5
1000,0.5,0.2,0.4
1100,0.7,0.0,0.7
1200,0.6,0.0,0.6
1300,0.5,0.2,0.7
1400,0.6,0.1,0.6
1500,0.5,0.0,0.5
1600,0.3,0.0,0.4
1700,0.3,0.1,0.5
1800,0.3,0.0,0.5
1900,0.4,0.0,0.6
2000,0.4,0.0,0.4
2100,0.4,0.0,0.3
2200,0.3,0.0,0.6
2300,0.7,0.1,0.6
2400,0.5,0.1,0.6
2500,0.5,0.2,0.4
2600,0.7,0.1,0.6
2700,0.5,0.2,0.4
2800,0.7,0.0,0.5
2900,0.3,0.1,0.4
3000,0.3,0.1,0.5
3100,0.4,0.2,0.6
3200,0.4,0.0,0.5
3300,0.5,0.0,0.6
3400,0.4,0.0,0.5
3500,0.7,0.0,0.5
3600,0.6,0.0,0.6
3700,0.4,0.0,0.6
3800,0.6,0.1,0.4
3900,0.4,0.0,0.5
4000,0.3,0.1,0.5
4100,0.5,0.0,0.4
4200,0.5,0.0,0.6
4300,0.7,0.0,0.4
4400,0.6,0.1,0.3
4500,0.4,0.0,0.4
4600,0.6,0.0,0.4
4700,0.4,0.0,0.2
4800,0.5,0.1,0.6
4900,0.6,0.1,0.5
5000,0.6,0.0,0.4
5100,0.2,0.1,0.6
5200,0.7,0.1,0.4
5300,0.4,0.0,0.5
5400,0.4,0.1,0.6
5500,0.4,0.0,0.4
5600,0.6,0.0,0.5
5700,0.5,0.0,0.4
5800,0.4,0.1,0.6
5900,0.6,0.0,0.6
6000,0.5,0.0,0.5
6100,0.5,0.1,0.5
6200,0.4,0.3,0.4
6300,0.4,0.2,0.4
6400,0.3,0.1,0.5
6500,0.4,0.0,0.4
6600,0.4,0.0,0.3
6700,0.3,0.0,0.4
6800,0.4,0.0,0.7
6900,0.5,0.0,0.4
7000,0.4,0.0,0.4
7100,0.4,0.0,0.5
7200,0.5,0.1,0.6
7300,0.5,0.0,0.6
7400,0.5,0.0,0.6
7500,0.4,0.0,0.6
7600,0.4,0.0,0.6
7700,0.4,0.0,0.7
7800,0.6,0.1,0.6
7900,0.3,0.0,0.7
8000,0.5,0.0,0.5
8100,0.6,0.0,0.5
8200,0.6,0.0,0.4
8300,0.6,0.1,0.5
8400,0.6,0.2,0.6
8500,0.5,0.1,0.5
8600,0.5,0.1,0.4
8700,0.5,0.0,0.5
8800,0.3,0.0,0.6
8900,0.4,0.1,0.3
9000,0.4,0.0,0.6
9100,0.4,0.1,0.5
9200,0.3,0.0,0.3
9300,0.4,0.0,0.4
9400,0.6,0.0,0.5
9500,0.4,0.0,0.4
9600,0.5,0.0,0.5
9700,0.4,0.0,0.5
9800,0.7,0.0,0.5
9900,0.3,0.1,0.4
10000,0.5,0.1,0.6
10100,0.6,0.0,0.5
10200,0.3,0.0,0.5
10300,0.5,0.0,0.4
10400,0.6,0.0,0.3
10500,0.4,0.0,0.5
10600,0.6,0.1,0.4
10700,0.6,0.1,0.5
10800,0.5,0.0,0.5
10900,0.5,0.0,0.6
11000,0.4,0.1,0.7
11100,0.4,0.0,0.2
11200,0.3,0.0,0.6
11300,0.5,0.1,0.4
11400,0.4,0.1,0.6
11500,0.3,0.0,0.5
11600,0.4,0.0,0.6
11700,0.5,0.0,0.5
11800,0.4,0.0,0.3
11900,0.5,0.1,0.5
12000,0.5,0.1,0.4
12100,0.5,0.0,0.6
12200,0.4,0.0,0.5
12300,0.5,0.0,0.7
12400,0.4,0.0,0.6
12500,0.3,0.1,0.6
12600,0.3,0.0,0.6
12700,0.3,0.0,0.6
12800,0.6,0.1,0.7
12900,0.5,0.0,0.6
13000,0.4,0.0,0.6
13100,0.3,0.1,0.6
13200,0.5,0.1,0.3
13300,0.3,0.1,0.4
13400,0.5,0.1,0.4
13500,0.4,0.0,0.7
13600,0.4,0.0,0.6
13700,0.4,0.0,0.5
13800,0.3,0.0,0.5
13900,0.6,0.0,0.4
14000,0.5,0.2,0.5
14100,0.5,0.2,0.5
14200,0.4,0.0,0.4
14300,0.4,0.2,0.3
14400,0.4,0.1,0.5
14500,0.3,0.2,0.6
14600,0.4,0.0,0.4
14700,0.5,0.1,0.5
14800,0.6,0.1,0.5
14900,0.6,0.0,0.6
15000,0.6,0.0,0.7
15100,0.3,0.1,0.5
15200,0.5,0.0,0.4
15300,0.4,0.0,0.5
15400,0.4,0.0,0.5
15500,0.5,0.0,0.4
15600,0.6,0.0,0.5
15700,0.6,0.0,0.5
15800,0.5,0.0,0.3
15900,0.6,0.0,0.5
16000,0.5,0.1,0.4
16100,0.5,0.0,0.4
16200,0.7,0.0,0.5
16300,0.3,0.1,0.4
16400,0.6,0.0,0.6
16500,0.3,0.0,0.5
16600,0.6,0.1,0.4
16700,0.5,0.1,0.3
16800,0.6,0.1,0.4
16900,0.4,0.0,0.6
17000,0.5,0.0,0.3
17100,0.5,0.0,0.4
17200,0.4,0.1,0.4
17300,0.4,0.1,0.6
17400,0.3,0.0,0.3
17500,0.5,0.0,0.5
17600,0.3,0.1,0.7
17700,0.5,0.0,0.3
17800,0.3,0.0,0.6
17900,0.6,0.1,0.5
18000,0.3,0.0,0.3
18100,0.4,0.0,0.5
18200,0.3,0.1,0.7
18300,0.5,0.0,0.4
18400,0.6,0.3,0.7
18500,0.5,0.0,0.3
18600,0.2,0.0,0.4
18700,0.4,0.1,0.4
18800,0.3,0.1,0.5
18900,0.4,0.2,0.6
19000,0.2,0.0,0.4
19100,0.7,0.0,0.2
19200,0.7,0.0,0.5
19300,0.4,0.0,0.6
19400,0.5,0.0,0.5
19500,0.3,0.2,0.3
19600,0.4,0.1,0.6
19700,0.5,0.0,0.3
19800,0.5,0.0,0.5
19900,0.3,0.0,0.7
20000,0.4,0.0,0.3
20100,0.6,0.0,0.5
20200,0.5,0.0,0.6
20300,0.4,0.0,0.4
20400,0.1,0.0,0.3
20500,0.4,0.0,0.6
20600,0.6,0.0,0.3
20700,0.3,0.0,0.5
20800,0.5,0.2,0.5
20900,0.4,0.2,0.4
21000,0.6,0.0,0.5
21100,0.5,0.0,0.3
21200,0.3,0.1,0.4
21300,0.2,0.0,0.4
21400,0.5,0.0,0.4
21500,0.5,0.0,0.6
21600,0.2,0.0,0.4
21700,0.5,0.0,0.5
21800,0.6,0.0,0.3
21900,0.5,0.0,0.8
22000,0.4,0.0,0.4
22100,0.6,0.0,0.6
22200,0.4,0.2,0.4
22300,0.6,0.0,0.5
22400,0.5,0.0,0.6
22500,0.3,0.0,0.7
22600,0.6,0.1,0.6
22700,0.4,0.1,0.5
22800,0.4,0.0,0.5
22900,0.4,0.2,0.5
23000,0.4,0.0,0.4
23100,0.2,0.0,0.4
23200,0.5,0.0,0.5
23300,0.5,0.0,0.5
23400,0.4,0.0,0.6
23500,0.5,0.0,0.7
23600,0.4,0.0,0.6
